school_number,school_name,instruction_type,charter_type,school_street_address,school_city,school_state,school_zip,school_site_street_address,school_site_city,school_site_state,school_site_zip,school_phone,school_fax,school_email_address,school_web_page_address,school_principal,grade_range,enrollment_as_of_oct_2012,school_status,school_status_date,update_date
'126905104,NORTH JOSHUA EL,REGULAR INSTRUCTIONAL,,100 S RANCHWAY,BURLESON,TX,76028,100 S RANCHWAY,BURLESON,TX,76028,(817) 202-2500 ext:1700,(817) 295-9836,yocoms@joshuaisd.org,www.joshuaisd.org,DR SOMER YOCOM   ,'PK-06,572,Active,8/1/00,7/24/13 5:35
'126905105,PLUM CREEK EL,REGULAR INSTRUCTIONAL,,500 PLUM ST,JOSHUA,TX,76058-5725,500 PLUM ST,JOSHUA,TX,76058-5725,(817) 202-2500 ext:1800,(817) 202-9133,moonj@joshuaisd.org,www.joshuaisd.org,MR JIM MOON   ,'PK-06,526,Active,7/1/96,7/24/13 5:35
'126905106,CADDO GROVE EL,REGULAR INSTRUCTIONAL,,7301 FM 1902,JOSHUA,TX,76058,7301 FM 1902,JOSHUA,TX,76058,(817) 202-2500 ext:1500,(817) 645-6420,cockerhamk@joshuaisd.org,,MRS KATHRYN COCKERHAM   ,'PK-06,589,Active,4/27/05,7/24/13 5:35
'129902104,HENDERSON EL,REGULAR INSTRUCTIONAL,,12755 FM 1641,FORNEY,TX,75126,12755 FM 1641,FORNEY,TX,75126,(972) 564-7100,(972) 552-3335,stephen.chapman@forneyisd.net,,STEPHEN CHAPMAN   ,'PK-06,615,Active,9/1/01,7/24/13 5:35
'129902105,BLACKBURN EL,REGULAR INSTRUCTIONAL,,2401 CONCORD DR,FORNEY,TX,75126-9682,2401 CONCORD DR,FORNEY,TX,75126-9682,(972) 564-7008,(469) 762-8154,trudy.watson@forneyisd.net,,TRUDY WATSON   ,'PK-06,580,Active,6/30/04,7/24/13 5:35
'129902108,NELL HILL RHEA EL,REGULAR INSTRUCTIONAL,,250 MONITOR BLVD,FORNEY,TX,75126,250 MONITOR BLVD,FORNEY,TX,75126,(469) 762-4157,(469) 355-0191,scott.fisher@forneyisd.net,,MR SCOTT FISHER   ,'PK-06,607,Active,6/17/08,7/24/13 5:35
'129902109,MARGARET TAYLOR SMITH EL,REGULAR INSTRUCTIONAL,,1750 IRON GATE BLVD,FORNEY,TX,75126,1750 IRON GATE BLVD,FORNEY,TX,75126,(469) 762-4158,(469) 355-0154,amie.pennington@forneyisd.net,,AMIE PENNINGTON   ,'PK-06,514,Active,6/17/08,7/24/13 5:35
'130901101,CURINGTON EL,REGULAR INSTRUCTIONAL,,601 ADLER RD,BOERNE,TX,78006-1742,601 ADLER RD,BOERNE,TX,78006-1742,(830) 357-4000,(830) 357-4099,georgia.franks@boerne-isd.net,www.boerne-isd.net,MRS GEORGIA FRANKS   ,'PK-06,795,Active, ,7/24/13 5:35
'133905101,DIVIDE EL,REGULAR INSTRUCTIONAL,,120 DIVIDE SCHOOL RD,MOUNTAIN HOME,TX,78058,120 DIVIDE SCHOOL RD,MOUNTAIN HOME,TX,78058,(830) 640-3322,(830) 640-3323,divide.isd@gmail.com,,MR BILL BACON   ,'PK-06,13,Active,7/1/88,7/24/13 5:35
'137903101,NANNY EL,REGULAR INSTRUCTIONAL,,203 SEAHAWK DR,RIVIERA,TX,78379-3500,203 SEAHAWK DR,RIVIERA,TX,78379-3500,(361) 296-2446,(361) 296-3108,mdupont@rivieraisd.esc2.net,www.rivieraisd.esc2.net,MRS MICHELLE DUPONT   ,'PK-06,171,Active, ,7/24/13 5:35
'145902101,CENTERVILLE EL,REGULAR INSTRUCTIONAL,,813 S COMMERCE,CENTERVILLE,TX,75833,346 CHURCH ST,CENTERVILLE,TX,75833,(903) 536-2235,(903) 536-3525,,,MRS DOTTIE SULLIVAN   ,'PK-06,351,Active, ,7/24/13 5:35
'145907102,OAKWOOD EL,REGULAR INSTRUCTIONAL,,631 N HOLLY ST,OAKWOOD,TX,75855-0802,631 N HOLLY ST,OAKWOOD,TX,75855-0802,(903) 545-2140,(903) 545-2310,dstanford@hotmail.com,,RICHARD SCOGGIN   ,'PK-06,124,Active, ,7/24/13 5:35
'167902101,MULLIN ELEMENTARY,REGULAR INSTRUCTIONAL,,P O BOX 128,MULLIN,TX,76864-0128,403 BULLDOG DR,MULLIN,TX,76864-0128,(325) 985-3374,(325) 985-3372,,,MR STEVEN MICKELSON   ,'PK-06,54,Active,4/17/03,7/24/13 5:35
'176903101,DEWEYVILLE EL,REGULAR INSTRUCTIONAL,,P O BOX 409,DEWEYVILLE,TX,77614-0409,683 CR 4156,DEWEYVILLE,TX,77614,(409) 746-2681 ext:2251,(409) 746-2753,bettyfoster@esc5.net,www.deweyvilleisd.com,MRS BETTY FOSTER   ,'PK-06,358,Active, ,7/24/13 5:35
'178904153,EARLY CHILDHOOD DEVELOPMENT CTR,REGULAR INSTRUCTIONAL,,6300 OCEAN DR,CORPUS CHRISTI,TX,78412-5599,6300 OCEAN DR,CORPUS CHRISTI,TX,78412-5599,(361) 825-3366,(361) 825-3301,susan.luis@ccisd.us,,DR SUSAN LUIS   ,'PK-06,168,Active,3/7/96,7/24/13 5:35
'180904101,WILDORADO EL,REGULAR INSTRUCTIONAL,,P O BOX 120,WILDORADO,TX,79098-0120,307 N LOCUST,WILDORADO,TX,79098-0120,(806) 426-3317,(806) 426-3523,troy.duck@region16.net,www.wildorado.fesdev.org,    ,'PK-06,102,Active, ,7/24/13 5:35
'182902101,GRAFORD EL,REGULAR INSTRUCTIONAL,,400 W DIVISION ST,GRAFORD,TX,76449-9701,400 W DIVISION,GRAFORD,TX,76449-9701,(940) 664-5821 ext:226 ,(940) 664-2765,wcorzine@grafordisd.net,www.grafordisd.net,WES CORZINE   ,'PK-06,211,Active,11/14/88,7/24/13 5:35
'182906101,PALO PINTO EL,REGULAR INSTRUCTIONAL,,P O BOX 280,PALO PINTO,TX,76484-0280,821 OAK ST,PALO PINTO,TX,76484-0280,(940) 659-2745,(940) 659-2936,ecederstrom@palopintoisd.net,www.palopintoisd.net,MRS TERESA JANE MAHAN   ,'PK-06,123,Active,9/1/78,7/24/13 5:35
'184903109,SEGUIN EL,REGULAR INSTRUCTIONAL,,499 E 8TH ST,WEATHERFORD,TX,76086,499 E 8TH ST,WEATHERFORD,TX,76086,(817) 598-2814,(817) 598-2826,apool@weatherfordisd.com,www.weatherfordisd.com,MR ANDY POOL   ,'PK-06,575,Active,5/15/00,7/24/13 5:35
'184903110,IKARD EL,REGULAR INSTRUCTIONAL,,100 IKARD LN,WEATHERFORD,TX,76086,100 IKARD LN,WEATHERFORD,TX,76086,(817) 598-2818,(817) 598-2805,cburton@weatherfordisd.com,www.weatherfordisd.com,MS LINDA STARNES   ,'PK-06,619,Active,5/15/00,7/24/13 5:35
'187906101,LEGGETT EL,REGULAR INSTRUCTIONAL,,P O BOX 68,LEGGETT,TX,77350-0068,254 E FM 942 E,LEGGETT,TX,77350-0068,(936) 398-2412,(936) 398-0889,jlowe@leggettisd.net,www.leggettisd.net,MS JANA LOWE   ,'PK-06,104,Active, ,7/24/13 5:35
'189902101,PRESIDIO EL,REGULAR INSTRUCTIONAL,,P O BOX 1401,PRESIDIO,TX,79845-1401,DOD & O'REILLY ST,PRESIDIO,TX,79845-1401,(432) 229-3200,(432) 229-4267,bwitty@presidio-isd.net,www.presidio-isd.net,MS BRENDA WITTY   MS YVETTE DEANDA   ,'PK-06,777,Active, ,7/24/13 5:35
'196903103,REFUGIO EL,REGULAR INSTRUCTIONAL,,212 W VANCE ST,REFUGIO,TX,78377,601 CROCKETT RD,REFUGIO,TX,78377-1816,(361) 526-4844 ext:5001,(361) 526-1053,carla.boxell@refugioisd.net,www.refugioisd.net,MRS TWYLA THOMAS   ,'PK-06,413,Active, ,7/24/13 5:35
'198905104,HEARNE EL,REGULAR INSTRUCTIONAL,,1210 HACKBERRY,HEARNE,TX,77859,1210 HACKBERRY ST,HEARNE,TX,77859,(979) 279-3341,(979) 279-8011,dsaul@hearne.k12.tx.us,,DAVID SAUL   ,'PK-06,583,Active,5/30/08,7/24/13 5:35
'199901101,VIRGINIA REINHARDT EL,REGULAR INSTRUCTIONAL,,615 HIGHLAND DR,ROCKWALL,TX,75087-2834,615 HIGHLAND DR,ROCKWALL,TX,75087-2834,(972) 771-5247,(972) 772-2097,kayleen.lavene@rockwallisd.org,www.rockwallisd.com/reinhardt/,MS KAYLEEN LAVENE   ,'PK-06,550,Active, ,7/24/13 5:35
'199901103,AMANDA ROCHELL EL,REGULAR INSTRUCTIONAL,,899 ROCHELL CT,ROCKWALL,TX,75032,899 ROCHELL CT,ROCKWALL,TX,75032,(972) 771-2112,(972) 772-0829,sherry.packer@rockwallisd.org,www.rockwallisd.com/rochell/,MRS SHERRY PACKER   ,'PK-06,572,Active, ,7/24/13 5:35
'199901109,DORRIS A JONES EL,REGULAR INSTRUCTIONAL,,2051 TRAIL GLEN,ROCKWALL,TX,75032,2051 TRAIL GLEN,ROCKWALL,TX,75032,(972) 772-1070,(972) 772-5789,mark.speck@rockwallisd.org,rockwallisd.com/Default.aspx?alias=rockwallisd.com/jones,MR MARK SPECK   ,'PK-06,667,Active,1/24/02,7/24/13 5:35
'199901111,OUIDA SPRINGER,REGULAR INSTRUCTIONAL,,3025 LIMESTONE HILL LN,ROCKWALL,TX,75032,3025 LIMESTONE HILL LN,ROCKWALL,TX,75032,(972) 772-7160,(972) 772-2464,mike.pitcher@rockwallisd.org,www.rockwallisd.com/springer/,MICHAEL PITCHER   ,'PK-06,604,Active,7/29/04,7/24/13 5:35
'201904101,LEVERETTS CHAPEL EL,REGULAR INSTRUCTIONAL,,P O BOX 669,LAIRD HILL,TX,75666-0669,8956 STATE HWY 42/135 N,OVERTON,TX,75684-9999,(903) 834-3181,(903) 834-6602,jjohnson@leverettschapelisd.net,www.leverettschapelisd.net,MR JOSH JOHNSON   ,'PK-06,161,Active,7/1/96,7/24/13 5:35
'203902101,BROADDUS EL,REGULAR INSTRUCTIONAL,,P O BOX 58,BROADDUS,TX,75929-0058,1 BULLDOG PLAZA,BROADDUS,TX,75929-0058,(936) 872-3315,(936) 872-9020,,,MR CLARK BYNUM   ,'PK-06,243,Active,7/1/91,7/24/13 5:35
'219905101,KRESS EL,REGULAR INSTRUCTIONAL,,200 E 5TH,KRESS,TX,79052,200 E 5TH,KRESS,TX,79052,(806) 684-2326,(806) 684-2778,doug.setliff@region16.net,,MR DOUG SETLIFF   ,'PK-06,153,Active, ,7/24/13 5:35
'226905101,WATER VALLEY EL,REGULAR INSTRUCTIONAL,,P O BOX 250,WATER VALLEY,TX,76958-0250,15575 ADAMS AVE,WATER VALLEY,TX,76958-9998,(325) 484-2478 ext:199 ,(325) 484-2473,brent.kirkland@wvisd.net,www.wvisd.net,MR BRENT KIRKLAND   ,'PK-06,148,Active, ,7/24/13 5:35
'227901115,DAEP- EL,DAEP INSTRUCTIONAL,,906 W MILTON,AUSTIN,TX,78704,906 W MILTON,AUSTIN,TX,78704,(512) 414-2074,(512) 472-9029,Sally.Rothenberg@austinisd.org,,MR JEFF BLACK   ,'PK-06,5,Active,11/2/87,7/24/13 5:35
'228904101,CENTERVILLE EL,REGULAR INSTRUCTIONAL,,10327 N STATE HWY 94,GROVETON,TX,75845-9733,N STATE HWY 94,GROVETON,TX,75845-9733,(936) 642-1597,(936) 642-2810,mford@centervilleisd.net,www.centervilleisd.net,MR ROBERT L WELSH III   ,'PK-06,73,Active, ,7/24/13 5:35
'228905101,APPLE SPRINGS EL,REGULAR INSTRUCTIONAL,,P O BOX 125,APPLE SPRINGS,TX,75926-0125,9120 FM 2501,APPLE SPRINGS,TX,75926-0125,(936) 831-2241,(936) 831-2824,gspivey@asisd.com,www.asisd.com,MR CODY MOREE   ,'PK-06,102,Active, ,7/24/13 5:35
'229905101,SPURGER EL,REGULAR INSTRUCTIONAL,,P O BOX 38,SPURGER,TX,77660-0038,12212 FM 92,SPURGER,TX,77660-0038,(409) 429-5152,(409) 429-3770,,,KEPPI FORTENBERRY   ,'PK-06,261,Active,9/14/87,7/24/13 5:35
'230904101,SHARON A RICHARDSON EL,REGULAR INSTRUCTIONAL,,2197 FM 2088,GILMER,TX,75644-5559,2197 F M 2088,GILMER,TX,75644-5559,(903) 762-2139,(903) 762-6845,watsonb@uhisd.com,www.uhisd.com,MR BRAD WATSON   ,'PK-06,157,Active, ,7/24/13 5:35
'230908101,UNION GROVE EL,REGULAR INSTRUCTIONAL,,P O BOX 1447,GLADEWATER,TX,75647-1447,11220 UNION GROVE RD,GLADEWATER,TX,75647-1447,(903) 845-3481,(903) 845-6270,whitakerl@ugisd.org,www.uniongroveisd.org,MR LYNN WHITAKER   ,'PK-06,429,Active, ,7/24/13 5:35
'239903101,BURTON EL,REGULAR INSTRUCTIONAL,,P O BOX 129,BURTON,TX,77835-0037,12200 HICKORY ST,BURTON,TX,77835-0037,(979) 289-2175,(979) 289-0170,cdabera@burtonisd.net,,MRS CHERYL DABERA   ,'PK-06,206,Active,9/1/69,7/24/13 5:35
'243905114,HAYNES EL,REGULAR INSTRUCTIONAL,,1705 KATHERINE DR,WICHITA FALLS,TX,76306-2202,1705 KATHERINE DR,WICHITA FALLS,TX,76306-2202,(940) 235-1160,(940) 235-1161,rhall@wfisd.net,www.wfisd.net,MS RONDA HALL   ,'PK-06,272,Active, ,7/24/13 5:35
'248902101,WINK EL,REGULAR INSTRUCTIONAL,,P O BOX 637,WINK,TX,79789-0637,200 ROSEY DODD,WINK,TX,79789-0367,(432) 527-3880 ext:7013,(432) 527-3505,scarman@wlisd.esc18.net,,MR SCOTTY CARMAN   ,'PK-06,247,Active,9/1/78,7/24/13 5:35
'015822005,HIGHLAND PARK GIFTED AND TALENTED ACADEMY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,4434 ROLAND,SAN ANTONIO,TX,78222,901 E DREXEL,SAN ANTONIO,TX,78210,(210) 293-4206,(210) 532-3810,grico@jubileeacademic.org,,GENEVA RICO   ,'PK-07,254,Active,8/12/10,7/24/13 5:34
'057811101,CHILDREN FIRST OF DALLAS,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,315 E WHEATLAND RD,DALLAS,TX,75241,425 E WHEATLAND RD,DALLAS,TX,75241,(214) 371-2545,(214) 371-0283,claudisallen@aol.com,,MS TIFFANI MOHAMMAD   ,'PK-07,433,Active,7/1/98,7/24/13 5:34
'057811102,THE CHILDREN FIRST ACADEMY - HOUSTON,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,7803 E LITTLE YORK,HOUSTON,TX,77016,7803 E LITTLE YORK,HOUSTON,TX,77016,(713) 491-9030,(713) 491-9032,cmac45@aol.com,,    ,'PK-07,471,Active,8/22/11,7/24/13 5:34
'101801102,MEDICAL CENTER CHARTER SCHOOL/SOUTHWEST,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,1920 N BAESWOOD,HOUSTON,TX,77030,10420 MULLINS,HOUSTON,TX,77096,(713) 726-0221,(713) 726-0225,mheard@SNSCHOOLS.com,,MARGOT HEARD   ,'PK-07,348,Active,4/1/96,7/24/13 5:34
'140908101,SUDAN EL,REGULAR INSTRUCTIONAL,,P O BOX 659,SUDAN,TX,79371-0659,107 W HWY 303,SUDAN,TX,79371-0249,(806) 227-2173,(806) 227-2146,deannwilson@sudanisd.net,,MS DEANN WILSON   ,'PK-07,282,Active, ,7/24/13 5:35
'011905101,MCDADE ISD,REGULAR INSTRUCTIONAL,,P O BOX 400,MCDADE,TX,78650-0400,156 MARLIN ST,MCDADE,TX,78650-0400,(512) 273-2522,(512) 273-2101,mcdadeisd@mcdadeisd.net,www.mcdadeisd.net,MR REYNALDO JUAREZ   ,'PK-08,216,Active,9/1/77,7/24/13 5:34
'015809101,BEXAR COUNTY ACADEMY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,1485 HILLCREST DR UNIT AO1,SAN ANTONIO,TX,78228,1481 HILLCREST DR UNIT A01,SAN ANTONIO,TX,78228,(210) 432-8600,(210) 432-8667,lsleeper@charteracademies.com,,LINDA SLEEPER   ,'PK-08,458,Active,9/1/99,7/24/13 5:34
'015815102,RADIANCE ACADEMY OF LEARNING (INTERNATIONAL),ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,4151 CULEBRA RD BLDG #3,SAN ANTONIO,TX,78228,4151 CULEBRA RD BLDG #3,SAN ANTONIO,TX,78228,(210) 967-3206,(210) 637-9264,jarredondo@shekinah-edu.com,,JAVIER ARREDONDO   ,'PK-08,77,Active,8/23/07,7/24/13 5:34
'019914101,LEARY EL,REGULAR INSTRUCTIONAL,,P O BOX 519,HOOKS,TX,75561-0519,9500 W NEW BOSTON RD,TEXARKANA,TX,75501-0519,(903) 838-8960,(903) 838-6036,jtankersley@learyisd.net,www.learyisd.net,JENNIFER DEAR   ,'PK-08,109,Active,9/1/78,7/24/13 5:34
'021803001,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY BRYAN/COL,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,410 BETHEL LN,BRYAN,TX,77802,410 BETHEL LN,BRYAN,TX,77802,(979) 774-5032,(979) 774-5039,cosgood@thebrazosschool.org,,MR CHRISTOPHER OSGOOD   ,'PK-08,126,Active,3/9/99,7/24/13 5:34
'021803102,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY GANO,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,410 BETHEL LN,BRYAN,TX,77802,1055 W TIDWELL,HOUSTON,TX,77091,(713) 681-1960,(713) 681-1979,bward@thebrazosschool.org,,BARRY WARD   ,'PK-08,141,Active,9/21/04,7/24/13 5:34
'022004101,TERLINGUA EL,REGULAR INSTRUCTIONAL,,P O BOX 256,TERLINGUA,TX,79852-0256,550 ROADRUNNER CIR,TERLINGUA,TX,79852-0256,(432) 371-2281,(432) 371-2245,bjones@terlinguacsd.com,www.terlinguacsd.com,MS BOBBIE JONES   ,'PK-08,71,Active, ,7/24/13 5:34
'029901107,SEADRIFT SCHOOL,REGULAR INSTRUCTIONAL,,P O BOX 979,SEADRIFT,TX,77983-0979,1801 W BROADWAY,SEADRIFT,TX,77983-0979,(361) 785-3511,(361) 785-5720,finsterd@calcoisd.org,,MRS DWANA FINSTER   ,'PK-08,285,Active, ,7/24/13 5:34
'033904102,WHITE DEER EL,REGULAR INSTRUCTIONAL,,P O BOX 37,WHITE DEER,TX,79097-0037,603 S MAIN,WHITE DEER,TX,79097-0037,(806) 883-2311 ext:200 ,(806) 883-5008,billy.boone@region16.net,,BILLY W BOONE   ,'PK-08,287,Active, ,7/24/13 5:34
'037909101,WELLS EL,REGULAR INSTRUCTIONAL,,P O BOX 469,WELLS,TX,75976-0469,160 RUSK AVE,WELLS,TX,75976-0469,(936) 867-4400,(936) 867-4466,kkilcrease@wells.esc7.net,,MRS KATHY KILCREASE   ,'PK-08,216,Active, ,7/24/13 5:34
'049908101,WALNUT BEND EL,REGULAR INSTRUCTIONAL,,47 C R 198,GAINESVILLE,TX,76240-9720,47 C R 198,GAINESVILLE,TX,76240-9720,(940) 665-5990,(940) 665-9660,mdavenport@walnutbendisd.net,www.walnutbendisd.net,MR MATTHEW DAVENPORT   ,'PK-08,90,Active,9/1/78,7/24/13 5:34
'049909101,SIVELLS BEND EL,REGULAR INSTRUCTIONAL,,1053 CR 403,GAINESVILLE,TX,76240-9307,1053 CR (17 MILES N OF US 82 ON FM 1201),GAINESVILLE,TX,76240-9307,(940) 665-6411 ext:111 ,(940) 665-2527,pnewton@sivellsbendisd.net,www.sivellsbendisd.net,MR PHILIP L NEWTON   ,'PK-08,59,Active,9/1/78,7/24/13 5:34
'057810101,ACADEMY OF DALLAS,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,1030 OAK PARK DR,DALLAS,TX,75232,1030 OAK PARK DR,DALLAS,TX,75232,(214) 371-9600,(214) 371-1053,acadofdallascs@yahoo.com,,MR CONRAD HARGEST   ,'PK-08,617,Active,9/1/99,7/24/13 5:34
'057816101,AW BROWN-FELLOWSHIP CHARTER SCHOOL,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,5701 RED BIRD CTR DR,DALLAS,TX,75237,5701 RED BIRD CTR DR,DALLAS,TX,75237,(972) 709-4700,(972) 709-6605,info@awbrown.org,,PAULA D BROWN   ,'PK-08,0,Active,7/1/99,7/24/13 5:34
'057835101,GOLDEN RULE,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,2602 W ILLINOIS AVE,DALLAS,TX,75262,622 SUNNYSIDE,DALLAS,TX,75211,(214) 333-9330,(214) 333-9325,wramos@goldencharter.org,,MR WILL RAMOS   ,'PK-08,192,Active,6/22/06,7/24/13 5:34
'062905002,G O A L S PROGRAM,ALTERNATIVE INSTRUCTIONAL,,P O BOX 38,WESTHOFF,TX,77994-0038,301 DAULE ST,CUERO,TX,77954-4566, , ,,,    ,'PK-08,0,Active,7/1/98,7/24/13 5:34
'062905101,WESTHOFF EL,REGULAR INSTRUCTIONAL,,244 LYNCH AVE,WESTHOFF,TX,77994-0038,244 LYNCH AVE,WESTHOFF,TX,77994-0038,(830) 236-5519,(830) 236-5583,,,    ,'PK-08,69,Active,9/1/78,7/24/13 5:34
'072901101,THREE WAY EL,REGULAR INSTRUCTIONAL,,247 CR 207,STEPHENVILLE,TX,76401,247 CR 207,STEPHENVILLE,TX,76401,(254) 965-6496,(254) 965-3357,admin@twisd.us,www.twisd.us,DR BRANDY CAMPBELL   ,'PK-08,53,Active,7/1/88,7/24/13 5:34
'072904101,BLUFF DALE EL,REGULAR INSTRUCTIONAL,,P O BOX 101,BLUFF DALE,TX,76433-0101,710 CHURCH ST,BLUFF DALE,TX,76433-0101,(254) 728-3277,(254) 728-3298,Ben@bdisd.net,www.bdisd.net,MR BEN CHAPLIN   ,'PK-08,117,Active,9/1/78,7/24/13 5:34
'081906101,DEW EL,REGULAR INSTRUCTIONAL,,RT 2 BOX 60,TEAGUE,TX,75860-9802,606 FCR 481,DEW,TX,75860-9999,(903) 389-2828,(903) 389-5104,sally.gregory@dewisd.org,dewisd.org,MR THOMAS R WEEAKS   ,'PK-08,156,Active,9/1/78,7/24/13 5:34
'081906102,FREESTONE NAVARRO ALTER,DAEP INSTRUCTIONAL,,RT 2 BOX 60,TEAGUE,TX,75860, , ,TX, , , ,,,    ,'PK-08,0,Active,6/8/06,7/24/13 5:34
'084801101,MAINLAND PREPARATORY ACADEMY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,319 NEWMAN RD,TEXAS CITY,TX,77568,319 NEWMAN RD,LAMARQUE,TX,77568,(409) 934-9100,(409) 934-9130,merchant@mainlandprep.org,,MRS WILMA CLARK GREEN   ,'PK-08,392,Active,3/30/98,7/24/13 5:34
'084802001,ODYSSEY ACADEMY INC,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,2412 61ST ST,GALVESTON,TX,77551,6001 STEWART RD,GALVESTON,TX,77551,(409) 750-9289,(409) 740-3310,info@odyssey-academy.com,,JENNIFER GOODMAN   ,'PK-08,679,Active,1/1/00,7/24/13 5:34
'098903101,PRINGLE-MORSE EL-J H,REGULAR INSTRUCTIONAL,,P O BOX 109,MORSE,TX,79062-0109,100 5TH ST,MORSE,TX,79062-0109,(806) 733-2507,(806) 733-5417,,,MS KENT HARGIS   ,'PK-08,123,Active, ,7/24/13 5:34
'101819001,AMIGOS POR VIDA-FRIENDS FOR LIFE CHARTER SCHOOL,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,5500 EL CAMINO DEL REY,HOUSTON,TX,77081,5500 EL CAMINO DEL REY,HOUSTON,TX,77081,(713) 399-9945,(713) 349-0671,lmaggi@amigosporvida.com,www.amigosporvida.com,LUCILLE MAGGI   ,'PK-08,510,Active,1/1/00,7/24/13 5:34
'101840101,TWO DIMENSIONS PREPARATORY ACADEMY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,12121 VETERANS MEMORIAL DR #9,HOUSTON,TX,77067,12121 VETERANS MEMORIAL DR #10,HOUSTON,TX,77067,(281) 440-8853,(281) 440-4233,Simpson@TwoDimensions.org,www.twodimensions.org,DAISY L SIMPSON   ,'PK-08,231,Active,7/1/98,7/24/13 5:34
'101840102,TWO DIMENSIONS AT CORSICANA,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,12121 VETERANS MEMORIAL #9,HOUSTON,TX,77067,901 E 10TH ST,CORSICANA,TX,75110,(903) 872-2988,(903) 872-2858,williams@twodimensions.org,www.twodimensions.org,KAREN WILLIAMS   ,'PK-08,84,Active,6/11/03,7/24/13 5:34
'101840103,TWO DIMENSIONS/VICKERY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,12121 VETERANS MEMORIAL #9,HOUSTON,TX,77067,12330 VICKERY,HOUSTON,TX,77039,(281) 987-7300,(281) 987-7306,wickers@twodimensions.org,www.twodimensions.org,SALLY WICKERS   ,'PK-08,235,Active,6/12/03,7/24/13 5:34
'101848101,NORTHWEST PREPARATORY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,4705 LYONS AVE,HOUSTON,TX,77020,600 CHARLES ST,HUMBLE,TX,77338,(713) 672-1959,(713) 676-1940,singleton@northwestprepacademy.com,,ERIK L SINGLETON   ,'PK-08,342,Active,1/26/01,7/24/13 5:34
'101856101,DRAW ACADEMY,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,3920 STONEY BROOK DR,HOUSTON,TX,77063,3920 STONEY BROOK DR,HOUSTON,TX,77063,(713) 706-3729,(713) 706-3711,,,    ,'PK-08,298,Active,7/15/04,7/24/13 5:34
'101912371,YOUNG SCHOLARS ACADEMY FOR EXCELLENCE,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,1809 LOUISIANA,HOUSTON,TX,77002-8013,1809 LOUISIANA ST,HOUSTON,TX,77002-8013,(713) 654-1404,(713) 654-1401,ACOLEMA3@houstonisd.org,www.houstonisd.org,MS ANELLA COLEMAN   ,'PK-08,223,Active,7/1/97,7/24/13 5:35
'105802041,TEXAS PREPARATORY SCHOOL,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,PO BOX 1643,SAN MARCOS,TX,78667,400 UHLAND RD NO 2,SAN MARCOS,TX,78666,(512) 805-7737,(512) 805-7739,info@texasprep.us,www.texasprep.us,MARK A TERRY   ,'PK-08,138,Active,7/7/00,7/24/13 5:35
'107908101,MURCHISON EL,REGULAR INSTRUCTIONAL,,P O BOX 538,MURCHISON,TX,75778-0538,9661 E BANKHEAD ST,MURCHISON,TX,75778-9767,(903) 469-3636,(903) 469-3887,MISD@murchison.esc7.net,www.murchisonisd.com,    ,'PK-08,179,Active,9/1/75,7/24/13 5:35
'108802101,HORIZON MONTESSORI,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,221 N MAIN ST,MCALLEN,TX,78501,221 N MAIN ST,MCALLEN,TX,78501,(956) 668-1400,(956) 380-5110,ccampos@horizonmontessori.net,www.horizonmontessoristet.com,CAROLINA CAMPOS   ,'PK-08,521,Active,8/11/04,7/24/13 5:35
'108802102,HORIZON MONTESSORI II,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,1222 SUGAR CANE DR,WESLACO,TX,78596,12222 SUGARCANE DR,WESLACO,TX,78596,(956) 969-0044,(956) 969-0065,mcuellar@horizonmontessori.net,www.horizonmontessoristet.com,MR MARTIN CUELLAR   ,'PK-08,206,Active,7/27/07,7/24/13 5:35
